base,digits,attractor_id,cycle,cycle_length,kind,basin_size_all,basin_percentage_all,basin_size_valid,basin_percentage_valid,repdigit_basin_size,maximum_transient_depth_all,maximum_transient_depth_valid
8,6,640632,640632 -> 640632,1,fixed point,232372,88.64288330078125,232372,88.64558854945524,0,16,16
9,2,00,00 -> 00,1,fixed point,17,20.987654320987655,8,11.11111111111111,9,2,2
9,2,17 -> 53,17 -> 53 -> 17,2,non-trivial cycle,64,79.01234567901234,64,88.88888888888889,0,3,3
9,3,000,000 -> 000,1,fixed point,9,1.2345679012345678,0,0.0,9,1,
9,3,385 -> 484,385 -> 484 -> 385,2,non-trivial cycle,720,98.76543209876543,720,100.0,0,5,5
9,4,0000,0000 -> 0000,1,fixed point,9,0.13717421124828533,0,0.0,9,1,
9,4,3076 -> 7252 -> 5254,3076 -> 7252 -> 5254 -> 3076,3,non-trivial cycle,3308,50.41914342325865,3308,50.48840048840049,0,3,3
9,4,5074 -> 7072 -> 7432,5074 -> 7072 -> 7432 -> 5074,3,non-trivial cycle,3244,49.44368236549307,3244,49.51159951159951,0,4,4
9,5,00000,00000 -> 00000,1,fixed point,9,0.015241579027587259,0,0.0,9,1,
9,5,52854 -> 60873 -> 83841 -> 74832 -> 63843,52854 -> 60873 -> 83841 -> 74832 -> 63843 -> 52854,5,non-trivial cycle,54870,92.92282680485698,54870,92.9369918699187,0,7,7
9,5,62853,62853 -> 62853,1,fixed point,4170,7.061931616115429,4170,7.063008130081301,0,2,2
9,6,000000,000000 -> 000000,1,fixed point,9,0.0016935087808430287,0,0.0,9,1,
9,6,308876 -> 850731 -> 861621 -> 753432 -> 520764 -> 740742 -> 748832 -> 652533 -> 421665 -> 540744 -> 708872 -> 858821 -> 762522 -> 542544,308876 -> 850731 -> 861621 -> 753432 -> 520764 -> 740742 -> 748832 -> 652533 -> 421665 -> 540744 -> 708872 -> 858821 -> 762522 -> 542544 -> 308876,14,non-trivial cycle,531432,99.99830649121915,531432,100.0,0,8,8
10,2,00,00 -> 00,1,fixed point,10,10.0,0,0.0,10,1,
10,2,09 -> 81 -> 63 -> 27 -> 45,09 -> 81 -> 63 -> 27 -> 45 -> 09,5,non-trivial cycle,90,90.0,90,100.0,0,2,2
10,3,000,000 -> 000,1,fixed point,10,1.0,0,0.0,10,1,
10,3,495,495 -> 495,1,fixed point,990,99.0,990,100.0,0,6,6
10,4,0000,0000 -> 0000,1,fixed point,10,0.1,0,0.0,10,1,
10,4,6174,6174 -> 6174,1,fixed point,9990,99.9,9990,100.0,0,7,7
10,5,00000,00000 -> 00000,1,fixed point,10,0.01,0,0.0,10,1,
10,5,53955 -> 59994,53955 -> 59994 -> 53955,2,non-trivial cycle,3190,3.19,3190,3.1903190319031904,0,2,2
10,5,61974 -> 82962 -> 75933 -> 63954,61974 -> 82962 -> 75933 -> 63954 -> 61974,4,non-trivial cycle,48480,48.48,48480,48.484848484848484,0,6,6
10,5,62964 -> 71973 -> 83952 -> 74943,62964 -> 71973 -> 83952 -> 74943 -> 62964,4,non-trivial cycle,48320,48.32,48320,48.32483248324832,0,6,6
10,6,000000,000000 -> 000000,1,fixed point,10,0.001,0,0.0,10,1,
10,6,420876 -> 851742 -> 750843 -> 840852 -> 860832 -> 862632 -> 642654,420876 -> 851742 -> 750843 -> 840852 -> 860832 -> 862632 -> 642654 -> 420876,7,non-trivial cycle,935520,93.552,935520,93.5529355293553,0,13,13
10,6,549945,549945 -> 549945,1,fixed point,1950,0.195,1950,0.1950019500195002,0,1,1
10,6,631764,631764 -> 631764,1,fixed point,62520,6.252,62520,6.2520625206252065,0,4,4
11,2,00,00 -> 00,1,fixed point,41,33.88429752066116,30,27.272727272727273,11,3,3
11,2,37,37 -> 37,1,fixed point,80,66.11570247933884,80,72.72727272727273,0,4,4
11,3,000,000 -> 000,1,fixed point,11,0.8264462809917356,0,0.0,11,1,
11,3,4A6 -> 5A5,4A6 -> 5A5 -> 4A6,2,non-trivial cycle,1320,99.17355371900827,1320,100.0,0,6,6
