start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
46,0046,False,3,0046,6,4,6400,46,6354,6354,0046 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
47,0047,False,3,0047,7,4,7400,47,7353,7353,0047 -> 7353 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
48,0048,False,3,0048,8,4,8400,48,8352,8352,0048 -> 8352 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
49,0049,False,3,0049,9,4,9400,49,9351,9351,0049 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
50,0050,False,2,0005,5,0,5000,5,4995,4995,0050 -> 4995 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
51,0051,False,3,0015,5,1,5100,15,5085,5085,0051 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
52,0052,False,3,0025,5,2,5200,25,5175,5175,0052 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
53,0053,False,3,0035,5,3,5300,35,5265,5265,0053 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
54,0054,False,3,0045,5,4,5400,45,5355,5355,0054 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
55,0055,False,2,0055,5,5,5500,55,5445,5445,0055 -> 5445 -> 1089 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
56,0056,False,3,0056,6,5,6500,56,6444,6444,0056 -> 6444 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
57,0057,False,3,0057,7,5,7500,57,7443,7443,0057 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
58,0058,False,3,0058,8,5,8500,58,8442,8442,0058 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
59,0059,False,3,0059,9,5,9500,59,9441,9441,0059 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
60,0060,False,2,0006,6,0,6000,6,5994,5994,0060 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
61,0061,False,3,0016,6,1,6100,16,6084,6084,0061 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
62,0062,False,3,0026,6,2,6200,26,6174,6174,0062 -> 6174 -> 6174,6174,6174,1,1,,True,False,False,1,6174 -> 6174
63,0063,False,3,0036,6,3,6300,36,6264,6264,0063 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
64,0064,False,3,0046,6,4,6400,46,6354,6354,0064 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
65,0065,False,3,0056,6,5,6500,56,6444,6444,0065 -> 6444 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
66,0066,False,2,0066,6,6,6600,66,6534,6534,0066 -> 6534 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
67,0067,False,3,0067,7,6,7600,67,7533,7533,0067 -> 7533 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
68,0068,False,3,0068,8,6,8600,68,8532,8532,0068 -> 8532 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
69,0069,False,3,0069,9,6,9600,69,9531,9531,0069 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
70,0070,False,2,0007,7,0,7000,7,6993,6993,0070 -> 6993 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
71,0071,False,3,0017,7,1,7100,17,7083,7083,0071 -> 7083 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
72,0072,False,3,0027,7,2,7200,27,7173,7173,0072 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
73,0073,False,3,0037,7,3,7300,37,7263,7263,0073 -> 7263 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
74,0074,False,3,0047,7,4,7400,47,7353,7353,0074 -> 7353 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
75,0075,False,3,0057,7,5,7500,57,7443,7443,0075 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
76,0076,False,3,0067,7,6,7600,67,7533,7533,0076 -> 7533 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
77,0077,False,2,0077,7,7,7700,77,7623,7623,0077 -> 7623 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
78,0078,False,3,0078,8,7,8700,78,8622,8622,0078 -> 8622 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
79,0079,False,3,0079,9,7,9700,79,9621,9621,0079 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
80,0080,False,2,0008,8,0,8000,8,7992,7992,0080 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
81,0081,False,3,0018,8,1,8100,18,8082,8082,0081 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
82,0082,False,3,0028,8,2,8200,28,8172,8172,0082 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
83,0083,False,3,0038,8,3,8300,38,8262,8262,0083 -> 8262 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
84,0084,False,3,0048,8,4,8400,48,8352,8352,0084 -> 8352 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
